Table name: /home/web/research/projects/egg/alfalfa/ugradteam/groups/files/agc+nsa.v012.mags+lines.appmags+faceHalpha.csv.gz
+--------+-----------+----------+-------------+--------+------------+------------+--------------------+---------------------+--------------------+----------------------+----------------------+
| AGCnr  | radeg     | decdeg   | Z           | NSAID  | ABSMAG_i   | SERSIC_BA  | appmag_i           | g-i                 | vhelio             | logN2toHalpha        | logO3toHb            |
+--------+-----------+----------+-------------+--------+------------+------------+--------------------+---------------------+--------------------+----------------------+----------------------+
| 220374 | 184.93333 | 9.14861  | 0.019608779 | 170478 | -19.79406  | 0.7152569  | 14.826568191676376 | 0.5715350000000008  | 5878.555073968     | -0.44938945555067217 | -0.22479513834390302 |
| 225009 | 184.96542 | 8.54806  | 0.024315102 | 67303  | -17.148947 | 0.28965122 | 17.897093663870358 | 0.6928260000000002  | 7289.473058784     | -0.7412149255798696  | 0.07582639101826114  |
| 222421 | 184.97041 | 8.9375   | 0.02468737  | 48880  | -19.606169 | 0.46655697 | 15.474046210849737 | 0.9817200000000028  | 7401.07602704      | -0.4264839931680036  | -0.15861594544040422 |
| 7383   | 185.00542 | 8.60722  | 0.024583219 | 67304  | -20.630144 | 0.5640416  | 14.440269403426369 | 0.8247130000000027  | 7369.852390448     | -0.25175571723248996 | -0.26228059687672844 |
| 220391 | 185.04167 | 8.64472  | 0.02454924  | 67302  | -21.188658 | 0.5664247  | 13.87875880031601  | 1.0948360000000008  | 7359.66575808      | -0.3959897860700155  | -0.7549284819567333  |
| 220401 | 185.11125 | 9.42417  | 0.02518005  | 48886  | -20.517193 | 0.99338794 | 14.607450189627999 | 0.7404629999999983  | 7548.7775495999995 | -0.4857148530162522  | -0.6054829839891454  |
| 224499 | 185.11667 | 9.40778  | 0.025864419 | 49012  | -17.074718 | 0.3895402  | 18.10918396882125  | 0.8474350000000008  | 7753.945900848     | -0.514317919594446   | -0.6231839465888597  |
| 220405 | 185.13873 | 9.85333  | 0.019624926 | 170482 | -20.145185 | 0.39530537 | 14.47773886223495  | 1.295772000000003   | 5883.395815392     | -0.3221435200354335  | -0.418234588571556   |
| 224422 | 185.14041 | 9.46528  | 0.0251787   | 48884  | -17.094584 | 0.2987253  | 18.03000746840239  | 0.7762380000000029  | 7548.3728304       | -0.5476169547252703  | -0.11096209684217648 |
| 224424 | 185.29625 | 9.79945  | 0.025769781 | 49008  | -17.182814 | 0.30604145 | 17.993573251019093 | 0.6424489999999992  | 7725.574185552     | -0.8220277788647466  | 0.2444155205667292   |
